Book_no,Book,Arjuna_count,Partha_count,Dhananjaya_count,Gudakesa_count,Phalguni_count,Vijaya_count,Savyasachin_count,Vibhatsu_count,Kiritin_count,Jishnu_count,Arjun_total_count
1,ADI PARVA,357,61,35,1,1,2,1,13,0,12,483
2,SABHA PARVA,92,9,22,0,0,1,0,1,0,1,126
3,VANA PARVA,297,46,84,5,2,4,5,14,0,16,473
4,VIRATA PARVA,177,112,50,1,0,7,11,29,15,11,413
5,UDYOGA PARVA,169,54,70,0,0,7,16,10,7,5,338
6,BHISHMA PARVA,291,156,96,4,39,7,5,18,14,9,639
7,DRONA PARVA,727,408,249,0,13,7,40,47,6,14,1511
8,KARNA-PARVA,459,343,158,0,4,12,0,17,4,9,1006
9,SHALYA-PARVA,52,65,28,0,0,1,0,4,4,0,154
10,SAUPTIKA-PARVA,12,7,7,0,0,0,0,0,0,0,26
11,STRI-PARVA,11,5,4,0,0,0,0,2,0,0,22
12,SANTI PARVA,69,23,16,0,0,0,0,0,0,4,112
13,ANUSASANA PARVA,37,5,2,0,6,0,0,0,0,0,50
14,ASWAMEDHA PARVA,131,35,66,3,0,10,1,4,1,12,263
15,ASRAMAVASIKA PARVA,24,2,3,0,0,2,0,3,0,1,35
16,MAUSALA-PARVA,29,8,8,0,0,0,0,2,0,0,47
17,MAHAPRASTHANIKA PARVA,10,1,3,0,0,0,0,0,0,0,14
18,SVARGAROHANIKA-PARVA,5,0,0,0,0,0,0,0,0,0,5
